q,n_scales,tau,alpha,f,Dq,r2_tau,r2_alpha,r2_f,geom_ok,fit_ok,valid,threshold,selected
-8.0,11,-4.23792771683737,-0.0015865646283235702,4.250620233863996,0.4708808574263744,0.9897985534077405,0.45647070203042256,0.9903989558760756,False,False,False,0.9,False
-7.75,11,-4.238361675259938,-0.0018943096268168738,4.253042574867788,0.48438419145827866,0.9898195379695753,0.4569094756076412,0.9905109925848932,False,False,False,0.9,False
-7.5,11,-4.238879921644333,-0.0022627247740024535,4.255850357449312,0.4986917554875686,0.989844575284675,0.45739049398484927,0.9906398166166996,False,False,False,0.9,False
-7.25,11,-4.2394991091562515,-0.0027040836257440325,4.259103715442855,0.5138786798977275,0.98987445504298,0.4579157604291814,0.9907876957049796,False,False,False,0.9,False
-7.0,11,-4.2402392712200365,-0.003233240123896793,4.262871952087352,0.5300299089025046,0.9899101223433692,0.45848616505896944,0.9909571305391218,False,False,False,0.9,False
-6.75,11,-4.241124535392992,-0.003868198446027174,4.267234874903706,0.5472418755345797,0.9899527085159293,0.45910064819043267,0.9911508549674662,False,False,False,0.9,False
-6.5,11,-4.2421839954706755,-0.004630813311434048,4.272284281995009,0.5656245327294234,0.9900035680469788,0.4597548718505545,0.9913718265045004,False,False,False,0.9,False
-6.25,11,-4.243452777790068,-0.005547647975958168,4.278125577639835,0.5853038314193197,0.9900643227841214,0.46043911158346507,0.9916232033337914,False,False,False,0.9,False
-6.0,11,-4.24497334467293,-0.006651017785722689,4.284879451387272,0.6064247635247043,0.9901369148057034,0.4611349054020976,0.9919083029089988,False,False,False,0.9,False
-5.75,11,-4.246797084332892,-0.007980240688723347,4.2926834682930135,0.6291551236048728,0.9902236695686168,0.4618097094545387,0.9922305357791246,False,False,False,0.9,False
-5.5,11,-4.248986239497549,-0.009583092584369486,4.301693248711536,0.6536901906919307,0.990327371186886,0.46240833400979936,0.9925933060604685,False,False,False,0.9,False
-5.25,11,-4.251616219859823,-0.011517403309990569,4.312082587237323,0.6802585951775717,0.990451351901711,0.4628391374505525,0.9929998662788069,False,False,False,0.9,False
-5.0,11,-4.254778311578748,-0.013852582166326247,4.324041222410374,0.7091297185964579,0.9905995978779404,0.46295161104084576,0.9934531074171676,False,False,False,0.9,False
-4.75,11,-4.258582708350129,-0.016670530910453268,4.337767730174832,0.740623079713066,0.9907768731440234,0.4624996905714006,0.9939552512958881,False,False,False,0.9,False
-4.5,11,-4.263161573768773,-0.020064674008709798,4.35345260680792,0.7751202861397769,0.9909888621547631,0.46108116909618774,0.9945073843537627,False,False,False,0.9,False
-4.25,11,-4.268671354529655,-0.024134253072098526,4.371241930086091,0.8130802580056485,0.9912423276098749,0.4580366909018951,0.9951087145535614,False,False,False,0.9,False
-4.0,11,-4.275292477617086,-0.028967614578452615,4.391162935930913,0.8550584955234172,0.991545270349884,0.4522797608843615,0.9957553188346155,False,False,False,0.9,False
-3.75,11,-4.283222195111502,-0.03460088525312968,4.41297551481073,0.9017309884445268,0.9919070545664309,0.44200835815622874,0.9964379324853553,False,False,False,0.9,False
-3.5,11,-4.292651231201865,-0.040922847058804425,4.43588119590767,0.9539224958226367,0.992338407263412,0.42421467710492533,0.9971379642652676,False,False,False,0.9,False
-3.25,11,-4.303704016175301,-0.047464388289710766,4.4579632781168845,1.0126362391000707,0.9928510815832606,0.39386751972085404,0.9978204360013895,False,False,False,0.9,False
