x,y
-2.2666474,53.410992
-2.2621003,53.4178529
-2.2575362,53.4236156
-2.2523318,53.4286573
-2.2452471,53.4357778
-2.2449939,53.4533787
-2.2450437,53.4562817
-2.245013,53.4578025
-2.2451819,53.464049
-2.2461911,53.4679411
-2.269836,53.5467823
-2.257377,53.5469535
-2.2832053,53.5419033
-2.3285003,53.5279891
-2.329852,53.5278866
-2.3492494,53.5246984
-2.350361,53.5248887
-2.1800047,53.4085587
-2.1702515,53.4098056
-2.1409939,53.4199641
-2.125998,53.4285754
-2.135875,53.4524646
-2.1355257,53.4517743
-2.1388361,53.4628353
-2.1379946,53.4618562
-2.1255056,53.4754754
-2.1253503,53.4757712
-2.1380566,53.5163719
-2.138921,53.5168168
-2.1483207,53.521759
-2.1508783,53.5221816
-2.1572086,53.525447
-2.1670816,53.5277718
-2.210242,53.5373896
-2.2302238,53.5396517
-2.2285732,53.5402069
-2.2432274,53.5426503
-2.2747647,53.4142176
-2.271807,53.4142827
-2.2586276,53.4134114
-2.2915755,53.4233138
-2.2963763,53.4287893
-2.3344098,53.4403399
-2.3392293,53.4437378
-2.3343136,53.4405289
-2.3395438,53.4448102
-2.3391867,53.4541861
-2.3390772,53.4537966
-2.3435663,53.4609124
-2.3503246,53.4628152
-2.3615509,53.4654618
-2.3512886,53.4629158
-2.362939,53.4659288
-2.3384423,53.4859523
-2.3214406,53.4851604
-2.2850932,53.4806403
-2.3631707,53.5276801
-2.1366691,53.4564464
-2.1358746,53.4574476
-2.1354209,53.4571865
-2.1351958,53.4564919
-2.1355685,53.4572936
-2.1353209,53.4563936
-2.1370599,53.4573961
-2.1369097,53.4566159
-2.1448205,53.4573608
-2.1346285,53.4569062
-2.1294472,53.4565452
-2.2356094,53.4684728
-2.2405403,53.4739439
-2.2380009,53.4711147
-2.2401727,53.4775361
-2.2409794,53.4779903
-2.2348605,53.4717832
-2.2294386,53.4671133
-2.223491,53.4620881
-2.2213007,53.4602108
-2.2690509,53.5150366
-2.2710766,53.5167723
-2.2701385,53.515933
-2.2717105,53.518184
-2.2722092,53.5195946
-2.2734871,53.5210101
-2.283769,53.5312426
-2.2875208,53.5357581
-2.2893802,53.5383592
-2.2888799,53.539568
-2.2881079,53.5385544
-2.288021,53.5387349
-2.227847,53.482077
-2.2545161,53.4792737
-2.2495709,53.4783098
-2.2223186,53.4518886
-2.2226525,53.4524709
-2.2208078,53.4521807
-2.2180261,53.4526022
-2.2184963,53.453008
-2.2184146,53.4533463
-2.2152757,53.4535994
-2.2173901,53.4526796
-2.2166331,53.4527119
-2.2139768,53.4532958
-2.2114507,53.4538542
-2.2144837,53.4555158
-2.2162931,53.4552271
-2.2148855,53.4543331
-2.2155156,53.4541604
-2.2175824,53.4550927
-2.219177,53.4548953
-2.2205901,53.4544399
-2.2218544,53.454033
-2.2225033,53.4541579
-2.2227626,53.4537424
-2.2219338,53.4536496
-2.2231308,53.4531383
-2.2249725,53.4575663
-2.2238954,53.4537805
-2.2247238,53.4544942
-2.2228408,53.4545768
